experiment,model,결측치 처리,인코딩,스케일링,feature_selection,accuracy,precision,recall,f1_score,roc_auc
MostFreq_OneHot_Standard,RandomForest,Most Frequent,One-Hot,Standard,False,0.857976354982343,0.7386785449146251,0.6345663265306123,0.6826758147512865,0.9064164998658715
MostFreq_OneHot_Standard,RandomForest,Most Frequent,One-Hot,Standard,True,0.8360202671579917,0.6785714285714286,0.6058673469387755,0.6401617250673854,0.8766333366005654
MostFreq_OneHot_Standard,XGBoost,Most Frequent,One-Hot,Standard,False,0.8757868877629357,0.7784299339691856,0.6766581632653061,0.723984988058683,0.929765365448505
MostFreq_OneHot_Standard,XGBoost,Most Frequent,One-Hot,Standard,True,0.855980346998311,0.7316176470588235,0.6345663265306123,0.6796448087431693,0.9116168155836653
MostFreg_Label_Robust,RandomForest,Most Frequent,Label,Robust,False,0.8595117457392907,0.7420311341734618,0.6383928571428571,0.6863215632499143,0.9130604377747054
MostFreg_Label_Robust,RandomForest,Most Frequent,Label,Robust,True,0.8460003070781514,0.7033837293016558,0.6230867346938775,0.6608048698004735,0.8916186469532201
MostFreg_Label_Robust,XGBoost,Most Frequent,Label,Robust,False,0.8731767234761246,0.7700145560407569,0.6747448979591837,0.7192386131883073,0.9274571304760528
MostFreg_Label_Robust,XGBoost,Most Frequent,Label,Robust,True,0.865806847842776,0.7529154518950437,0.6588010204081632,0.7027210884353742,0.9216012618394173
DropNa_OneHot_Standard,RandomForest,Drop Na,One-Hot,Standard,False,0.8529753025029008,0.7419354838709677,0.6278295605858855,0.6801298232960692,0.901225497615039
DropNa_OneHot_Standard,RandomForest,Drop Na,One-Hot,Standard,True,0.8309298856290402,0.6931089743589743,0.5758988015978695,0.6290909090909091,0.8689544669492396
DropNa_OneHot_Standard,XGBoost,Drop Na,One-Hot,Standard,False,0.8649096635173213,0.7660728117738187,0.6584553928095872,0.7081990691013247,0.9233724562350618
DropNa_OneHot_Standard,XGBoost,Drop Na,One-Hot,Standard,True,0.8486656721365822,0.7354116706634692,0.6125166444740346,0.6683617871413003,0.9066528230879388
DropNa_Label_Robust,RandomForest,Drop Na,Label,Robust,False,0.8549643626719708,0.745113369820172,0.6344873501997337,0.6853649766271126,0.9033118793128327
DropNa_Label_Robust,RandomForest,Drop Na,Label,Robust,True,0.8393833913475882,0.7116759332803813,0.596537949400799,0.6490402028250634,0.8857472755372738
DropNa_Label_Robust,XGBoost,Drop Na,Label,Robust,False,0.8630863583623405,0.7678288431061807,0.6451398135818908,0.7011577424023154,0.9213174459361329
DropNa_Label_Robust,XGBoost,Drop Na,Label,Robust,True,0.8546328526437925,0.7555192150449714,0.6151797603195739,0.6781651376146789,0.9166085769257557
