experiment,model,feature,selectKBest_score,rank
DropNa_Label_Robust,XGBoost,num__education-num,2986.5419719353986,1
DropNa_Label_Robust,XGBoost,cat__relationship,1600.784319380542,2
DropNa_Label_Robust,XGBoost,num__age,1516.0740940327478,3
DropNa_Label_Robust,XGBoost,num__hours-per-week,1349.0534927499104,4
DropNa_Label_Robust,XGBoost,num__capital-gain,1246.315223754714,5
DropNa_Label_Robust,XGBoost,cat__sex,1212.6783933304857,6
DropNa_Label_Robust,XGBoost,num__net_capital,1144.9909385029107,7
DropNa_Label_Robust,XGBoost,cat__marital-status,953.3066072234641,8
DropNa_Label_Robust,XGBoost,num__capital-loss,549.3191194405614,9
DropNa_Label_Robust,XGBoost,cat__education,147.77068444588716,10
